OpenCL NVIDIA GeForce GTX 1050 Ti
float n 10000000 group 8 time 0.00566580001031979918
float n 20000000 group 8 time 0.01074769999831914902
float n 30000000 group 8 time 0.01562859999830834568
float n 40000000 group 8 time 0.02223750000121071935
float n 50000000 group 8 time 0.02677130000665783882
float n 60000000 group 8 time 0.03176169999642297626
float n 70000000 group 8 time 0.03721290000248700380
float n 80000000 group 8 time 0.04027260001748800278
float n 90000000 group 8 time 0.04575809999369084835
float n 10000000 group 16 time 0.00554630000260658562
float n 20000000 group 16 time 0.01086040001246146858
float n 30000000 group 16 time 0.01567510000313632190
float n 40000000 group 16 time 0.02095460001146420836
float n 50000000 group 16 time 0.02697159998933784664
float n 60000000 group 16 time 0.03078070000628940761
float n 70000000 group 16 time 0.03629059999366290867
float n 80000000 group 16 time 0.04225580001366324723
float n 90000000 group 16 time 0.04790780000621452928
float n 10000000 group 32 time 0.00529890001052990556
float n 20000000 group 32 time 0.01165470000705681741
float n 30000000 group 32 time 0.01670219999505206943
float n 40000000 group 32 time 0.02104709998820908368
float n 50000000 group 32 time 0.02585820000967942178
float n 60000000 group 32 time 0.02974339999491348863
float n 70000000 group 32 time 0.03626580000855028629
float n 80000000 group 32 time 0.03793250001035630703
float n 90000000 group 32 time 0.04524630002561025321
float n 10000000 group 64 time 0.00483689998509362340
float n 20000000 group 64 time 0.00938719999976456165
float n 30000000 group 64 time 0.01316309999674558640
float n 40000000 group 64 time 0.01752299998770467937
float n 50000000 group 64 time 0.02168440000968985260
float n 60000000 group 64 time 0.02667550000478513539
float n 70000000 group 64 time 0.02986509999027475715
float n 80000000 group 64 time 0.03427289999672211707
float n 90000000 group 64 time 0.03973580000456422567
float n 10000000 group 128 time 0.00452430002042092383
float n 20000000 group 128 time 0.00854999999864958227
float n 30000000 group 128 time 0.01252200000453740358
float n 40000000 group 128 time 0.01750029998947866261
float n 50000000 group 128 time 0.02004070000839419663
float n 60000000 group 128 time 0.02446539999800734222
float n 70000000 group 128 time 0.03282490000128746033
float n 80000000 group 128 time 0.04154479998396709561
float n 90000000 group 128 time 0.04491520000738091767
float n 10000000 group 256 time 0.00537219998659566045
float n 20000000 group 256 time 0.01164540002355352044
float n 30000000 group 256 time 0.01548360000015236437
float n 40000000 group 256 time 0.02061249999678693712
float n 50000000 group 256 time 0.02648050000425428152
float n 60000000 group 256 time 0.03190010000253096223
float n 70000000 group 256 time 0.03507390001323074102
float n 80000000 group 256 time 0.03985529998317360878
float n 90000000 group 256 time 0.04411879999679513276
double n 10000000 group 8 time 0.00675890001002699137
double n 20000000 group 8 time 0.01237270000274293125
double n 30000000 group 8 time 0.01817239998490549624
double n 40000000 group 8 time 0.02436670000315643847
double n 50000000 group 8 time 0.02972339998814277351
double n 60000000 group 8 time 0.03407550000702030957
double n 70000000 group 8 time 0.03732119998312555254
double n 80000000 group 8 time 0.04338370001642033458
double n 90000000 group 8 time 0.04977370001142844558
double n 10000000 group 16 time 0.00628339999821037054
double n 20000000 group 16 time 0.01148059999104589224
double n 30000000 group 16 time 0.01651200000196695328
double n 40000000 group 16 time 0.02210229999036528170
double n 50000000 group 16 time 0.02924049997818656266
double n 60000000 group 16 time 0.03268979999120347202
double n 70000000 group 16 time 0.03760829998645931482
double n 80000000 group 16 time 0.04246670001884922385
double n 90000000 group 16 time 0.04728179998346604407
double n 10000000 group 32 time 0.00639239998417906463
double n 20000000 group 32 time 0.01116659998660907149
double n 30000000 group 32 time 0.01688270000158809125
double n 40000000 group 32 time 0.02194909998797811568
double n 50000000 group 32 time 0.02765060000820085406
double n 60000000 group 32 time 0.03254720001132227480
double n 70000000 group 32 time 0.03813900001114234328
double n 80000000 group 32 time 0.04376470000715926290
double n 90000000 group 32 time 0.04726459999801591039
double n 10000000 group 64 time 0.00634950000676326454
double n 20000000 group 64 time 0.01164380001137033105
double n 30000000 group 64 time 0.01625240000430494547
double n 40000000 group 64 time 0.02263759999186731875
double n 50000000 group 64 time 0.02663910001865588129
double n 60000000 group 64 time 0.04172780000953935087
double n 70000000 group 64 time 0.03686719998950138688
double n 80000000 group 64 time 0.05796839998220093548
double n 90000000 group 64 time 0.05419329999131150544
double n 10000000 group 128 time 0.00643670000135898590
double n 20000000 group 128 time 0.01159379997989162803
double n 30000000 group 128 time 0.01893190000555478036
double n 40000000 group 128 time 0.02208599998266436160
double n 50000000 group 128 time 0.02806909999344497919
double n 60000000 group 128 time 0.03410789999179542065
double n 70000000 group 128 time 0.03862120001576840878
double n 80000000 group 128 time 0.04228470000089146197
double n 90000000 group 128 time 0.04686420000507496297
double n 10000000 group 256 time 0.00616009999066591263
double n 20000000 group 256 time 0.01135979997343383729
double n 30000000 group 256 time 0.01624729999457485974
double n 40000000 group 256 time 0.02392120001604780555
double n 50000000 group 256 time 0.02646320001804269850
double n 60000000 group 256 time 0.03535280001233331859
double n 70000000 group 256 time 0.03903789998730644584
double n 80000000 group 256 time 0.04387730002054013312
double n 90000000 group 256 time 0.04845150001347064972
OpenMP
float n 10000000 group 8 time 0.00634100000024773180
float n 20000000 group 8 time 0.01033500002813525498
float n 30000000 group 8 time 0.01835969998501241207
float n 40000000 group 8 time 0.02187879997654817998
float n 50000000 group 8 time 0.03257490001851692796
float n 60000000 group 8 time 0.03344669999205507338
float n 70000000 group 8 time 0.03787610001745633781
float n 80000000 group 8 time 0.03953860001638531685
float n 90000000 group 8 time 0.04483290002099238336
float n 10000000 group 16 time 0.00499419998959638178
float n 20000000 group 16 time 0.00998659999459050596
float n 30000000 group 16 time 0.01544099999591708183
float n 40000000 group 16 time 0.02002769999671727419
float n 50000000 group 16 time 0.02572579999105073512
float n 60000000 group 16 time 0.02945560001535341144
float n 70000000 group 16 time 0.03508890001103281975
float n 80000000 group 16 time 0.03979029998299665749
float n 90000000 group 16 time 0.04900560001260600984
float n 10000000 group 32 time 0.00494230000185780227
float n 20000000 group 32 time 0.01066759999957866967
float n 30000000 group 32 time 0.01635349998832680285
float n 40000000 group 32 time 0.02246369997737929225
float n 50000000 group 32 time 0.03125680002267472446
float n 60000000 group 32 time 0.03041569999186322093
float n 70000000 group 32 time 0.03556240000762045383
float n 80000000 group 32 time 0.04315760001190938056
float n 90000000 group 32 time 0.04829579999204725027
float n 10000000 group 64 time 0.00530770001932978630
float n 20000000 group 64 time 0.01129070000024512410
float n 30000000 group 64 time 0.01656379998894408345
float n 40000000 group 64 time 0.02289410002413205802
float n 50000000 group 64 time 0.02618069999152794480
float n 60000000 group 64 time 0.03350759999011643231
float n 70000000 group 64 time 0.03979999999864958227
float n 80000000 group 64 time 0.04349300000467337668
float n 90000000 group 64 time 0.04875400001765228808
float n 10000000 group 128 time 0.00515770001220516860
float n 20000000 group 128 time 0.01203449998865835369
float n 30000000 group 128 time 0.01487029998679645360
float n 40000000 group 128 time 0.02326710001216270030
float n 50000000 group 128 time 0.02561900002183392644
float n 60000000 group 128 time 0.03065000000060535967
float n 70000000 group 128 time 0.03877929999725893140
float n 80000000 group 128 time 0.04025520000141113997
float n 90000000 group 128 time 0.04362989999935962260
float n 10000000 group 256 time 0.00527049999800510705
float n 20000000 group 256 time 0.01001880000694654882
float n 30000000 group 256 time 0.01550569999380968511
float n 40000000 group 256 time 0.02012599998852238059
float n 50000000 group 256 time 0.02516130000003613532
float n 60000000 group 256 time 0.03031569998711347580
float n 70000000 group 256 time 0.05220840001129545271
float n 80000000 group 256 time 0.03970740002114325762
float n 90000000 group 256 time 0.04503000000840984285
double n 10000000 group 8 time 0.00948160002008080482
double n 20000000 group 8 time 0.02169809999759308994
double n 30000000 group 8 time 0.02940659999148920178
double n 40000000 group 8 time 0.03855379999731667340
double n 50000000 group 8 time 0.04851849999977275729
double n 60000000 group 8 time 0.05815200001234188676
double n 70000000 group 8 time 0.06677189999027177691
double n 80000000 group 8 time 0.07750579999992623925
double n 90000000 group 8 time 0.08536399999866262078
double n 10000000 group 16 time 0.00984389998484402895
double n 20000000 group 16 time 0.02031029999488964677
double n 30000000 group 16 time 0.03139600000577047467
double n 40000000 group 16 time 0.03871429999708198011
double n 50000000 group 16 time 0.04949769997620023787
double n 60000000 group 16 time 0.05836570000974461436
double n 70000000 group 16 time 0.06697030001669190824
double n 80000000 group 16 time 0.07684369999333284795
double n 90000000 group 16 time 0.08577460001106373966
double n 10000000 group 32 time 0.00973649998195469379
double n 20000000 group 32 time 0.02028860000427812338
double n 30000000 group 32 time 0.03020969999488443136
double n 40000000 group 32 time 0.04181359999347478151
double n 50000000 group 32 time 0.04821890001767314970
double n 60000000 group 32 time 0.06135930001619271934
double n 70000000 group 32 time 0.06668009998975321651
double n 80000000 group 32 time 0.07633910002186894417
double n 90000000 group 32 time 0.08873139999923296273
double n 10000000 group 64 time 0.00989519999711774290
double n 20000000 group 64 time 0.01939569998648948967
double n 30000000 group 64 time 0.03259539999999105930
double n 40000000 group 64 time 0.03867779998108744621
double n 50000000 group 64 time 0.04857389998505823314
double n 60000000 group 64 time 0.05801370000699535012
double n 70000000 group 64 time 0.06849569999030791223
double n 80000000 group 64 time 0.07809200001065619290
double n 90000000 group 64 time 0.09156309999525547028
double n 10000000 group 128 time 0.01045020000310614705
double n 20000000 group 128 time 0.02067830000305548310
double n 30000000 group 128 time 0.02942810000968165696
double n 40000000 group 128 time 0.03877780001494102180
double n 50000000 group 128 time 0.04794839999522082508
double n 60000000 group 128 time 0.05710909998742863536
double n 70000000 group 128 time 0.07029410000541247427
double n 80000000 group 128 time 0.07642190001206472516
double n 90000000 group 128 time 0.08606719999806955457
double n 10000000 group 256 time 0.01010410001617856324
double n 20000000 group 256 time 0.01961170000140555203
double n 30000000 group 256 time 0.02865749999182298779
double n 40000000 group 256 time 0.03884210000978782773
double n 50000000 group 256 time 0.05056269999477081001
double n 60000000 group 256 time 0.06089979998068884015
double n 70000000 group 256 time 0.06763969999155960977
double n 80000000 group 256 time 0.08329879998927935958
double n 90000000 group 256 time 0.09330700000282377005
Sequential CPU
float n 10000000 group 8 time 0.00741130000096745789
float n 20000000 group 8 time 0.01378139998996630311
float n 30000000 group 8 time 0.01956330001121386886
float n 40000000 group 8 time 0.02628379999077878892
float n 50000000 group 8 time 0.03511450000223703682
float n 60000000 group 8 time 0.04043629998341202736
float n 70000000 group 8 time 0.04523079999489709735
float n 80000000 group 8 time 0.04964290000498294830
float n 90000000 group 8 time 0.05866690000402741134
float n 10000000 group 16 time 0.00591440001153387129
float n 20000000 group 16 time 0.01331290000234730542
float n 30000000 group 16 time 0.02139879998867399991
float n 40000000 group 16 time 0.02447380000376142561
float n 50000000 group 16 time 0.03571090000332333148
float n 60000000 group 16 time 0.03780550000374205410
float n 70000000 group 16 time 0.04297820001374930143
float n 80000000 group 16 time 0.05373700000927783549
float n 90000000 group 16 time 0.05667810002341866493
float n 10000000 group 32 time 0.00686019999557174742
float n 20000000 group 32 time 0.01258490001782774925
float n 30000000 group 32 time 0.01987610000651329756
float n 40000000 group 32 time 0.02653040000586770475
float n 50000000 group 32 time 0.03463549999287351966
float n 60000000 group 32 time 0.03773869998985901475
float n 70000000 group 32 time 0.04564649998792447150
float n 80000000 group 32 time 0.05419059999985620379
float n 90000000 group 32 time 0.05612249998375773430
float n 10000000 group 64 time 0.00593719998141750693
float n 20000000 group 64 time 0.01307049999013543129
float n 30000000 group 64 time 0.01958550000563263893
float n 40000000 group 64 time 0.02792100000078789890
float n 50000000 group 64 time 0.03244380000978708267
float n 60000000 group 64 time 0.03682600002503022552
float n 70000000 group 64 time 0.04924689998733811080
float n 80000000 group 64 time 0.05530060001183301210
float n 90000000 group 64 time 0.05610349998460151255
float n 10000000 group 128 time 0.00668059999588876963
float n 20000000 group 128 time 0.01208060001954436302
float n 30000000 group 128 time 0.02106150001054629683
float n 40000000 group 128 time 0.02965630000107921660
float n 50000000 group 128 time 0.03562809998402372003
float n 60000000 group 128 time 0.04220800002804026008
float n 70000000 group 128 time 0.04684659998747520149
float n 80000000 group 128 time 0.05436899999040178955
float n 90000000 group 128 time 0.06172329999390058219
float n 10000000 group 256 time 0.00610719999531283975
float n 20000000 group 256 time 0.01264680002350360155
float n 30000000 group 256 time 0.02110720000928267837
float n 40000000 group 256 time 0.02720680000493302941
float n 50000000 group 256 time 0.03320979999261908233
float n 60000000 group 256 time 0.03955069999210536480
float n 70000000 group 256 time 0.05126670000026933849
float n 80000000 group 256 time 0.05514250000123865902
float n 90000000 group 256 time 0.06311449999338947237
double n 10000000 group 8 time 0.01199319999432191253
double n 20000000 group 8 time 0.02435100000002421439
double n 30000000 group 8 time 0.03305870000622235239
double n 40000000 group 8 time 0.04551039999932982028
double n 50000000 group 8 time 0.06064760001027025282
double n 60000000 group 8 time 0.06773310000426135957
double n 70000000 group 8 time 0.08869439997943118215
double n 80000000 group 8 time 0.09074439998948946595
double n 90000000 group 8 time 0.10606990000815130770
double n 10000000 group 16 time 0.06982770000468008220
double n 20000000 group 16 time 0.02478830001200549304
double n 30000000 group 16 time 0.03846199999679811299
double n 40000000 group 16 time 0.05027340000378899276
double n 50000000 group 16 time 0.05788969999412074685
double n 60000000 group 16 time 0.06690430000890046358
double n 70000000 group 16 time 0.07566090000909753144
double n 80000000 group 16 time 0.09453349999967031181
double n 90000000 group 16 time 0.09904370000003837049
double n 10000000 group 32 time 0.01134720002301037312
double n 20000000 group 32 time 0.02125719998730346560
double n 30000000 group 32 time 0.03417050000280141830
double n 40000000 group 32 time 0.05220279999775812030
double n 50000000 group 32 time 0.06119799998123198748
double n 60000000 group 32 time 0.06666909999330528080
double n 70000000 group 32 time 0.08162929999525658786
double n 80000000 group 32 time 0.09095010001328773797
double n 90000000 group 32 time 0.13051449999329634011
double n 10000000 group 64 time 0.01123020000522956252
double n 20000000 group 64 time 0.02260309999110177159
double n 30000000 group 64 time 0.03692030001548118889
double n 40000000 group 64 time 0.04726880000089295208
double n 50000000 group 64 time 0.05614170001354068518
double n 60000000 group 64 time 0.06849910001619718969
double n 70000000 group 64 time 0.07702769999741576612
double n 80000000 group 64 time 0.09194280000519938767
double n 90000000 group 64 time 0.10171550000086426735
double n 10000000 group 128 time 0.01150819999747909606
double n 20000000 group 128 time 0.02186140001867897809
double n 30000000 group 128 time 0.03427440000814385712
double n 40000000 group 128 time 0.04843640001490712166
